DealId,Pool,Loan,Price
2,pool_1,103383740,256500.01780685
3,pool_1,103409559,200523.067410958
4,pool_1,103416238,361453.5939
5,pool_1,103422184,305187.265088103
6,pool_1,103428558,174289.319397534
7,pool_1,103428714,388460.441974795
8,pool_1,103430374,391228.018645786
9,pool_1,103430775,234109.876920821
10,pool_1,103433873,256053.661807725
11,pool_1,103435419,300191.394164385
12,pool_1,103436286,217431.133403836
13,pool_1,103437451,268247.12990104
14,pool_1,103437941,276029.365321518
15,pool_1,103439625,233914.14783411
16,pool_1,103439743,449423.101614385
17,pool_1,103441499,472189.549184796
18,pool_1,103442319,314427.3611677
19,pool_1,103442652,165084.018489042
20,pool_1,103442753,428515.779121426
21,pool_1,103443883,395215.303538635
22,pool_1,103444328,343082.200098632
23,pool_1,103444439,208273.943828493
24,pool_1,103444934,420198.065024712
25,pool_1,103445426,226910.023962329
26,pool_1,103445492,238155.059112329
27,pool_1,103445503,485638.813347946
28,pool_1,103445539,223896.650226165
29,pool_1,103445854,163086.835245644
30,pool_1,103445913,204714.613283434
31,pool_1,103445922,204177.285907123
32,pool_1,103447408,348202.917487982
33,pool_1,103448253,200695.837410958
34,pool_1,103448311,485949.186974989
35,pool_1,103448794,207592.024847671
36,pool_1,103448958,485925.085347946
37,pool_1,103449056,362464.204633149
38,pool_1,103449130,224431.547712329
39,pool_1,103449182,387868.849533807
40,pool_1,103449385,251109.89500926
41,pool_1,103449611,303931.925939885
42,pool_1,103450714,290806.871634794
43,pool_1,103451117,268718.810055069
44,pool_1,103451409,452336.151723944
45,pool_1,103451417,210488.982736438
46,pool_1,103451644,223248.900374411
47,pool_1,103451661,314042.639468582
48,pool_1,103451707,213516.767699321
49,pool_1,103452086,260350.461066727
50,pool_1,103452102,275880.138003014
51,pool_1,103453649,247838.939836438
52,pool_1,103453991,260252.369474959
53,pool_1,103454081,366800.9649
54,pool_1,103454215,245559.735520685
55,pool_1,103454334,282667.405581371
56,pool_1,103454543,232173.646765069
57,pool_1,103454836,227768.402624384
58,pool_1,103454847,290868.662133836
59,pool_1,103455127,263348.103671302
60,pool_1,103455262,478839.730191523
61,pool_1,103456375,261162.487163151
62,pool_1,103457288,372221.713439671
63,pool_1,103457291,274513.591463424
64,pool_1,103457521,402096.490367672
65,pool_1,103458327,480178.468532054
66,pool_1,103458469,442340.076372603
67,pool_1,103458781,238205.847377342
68,pool_1,103459948,486949.73746607
69,pool_1,103460154,250194.69538959
70,pool_1,103460405,367004.181123152
71,pool_1,103460634,223955.657826165
72,pool_1,103460765,276107.729253015
73,pool_1,103461187,151134.812466925
74,pool_1,103461281,254847.895948973
75,pool_1,103461689,485592.449563562
76,pool_1,103461935,241852.29889315
77,pool_1,103462067,164440.87074663
78,pool_1,103462114,304788.630783383
79,pool_1,103462184,150827.216671233
80,pool_1,103462307,357431.380832807
81,pool_1,103463039,445275.556729452
82,pool_1,103463517,208148.829776814
83,pool_1,103464939,366816.832933289
84,pool_1,103466283,173266.083873425
85,pool_1,103466413,461340.462371095
86,pool_1,103466555,157536.091535266
87,pool_1,103466801,162936.129193425
88,pool_1,103466894,467156.527125205
89,pool_1,103467255,448669.060239385
90,pool_1,103467751,195732.222617123
91,pool_1,103467909,159574.592073494
92,pool_1,103468338,347674.99387726
93,pool_1,103468803,212478.049249973
94,pool_1,103468867,398899.425480171
95,pool_1,103469263,324940.685047945
96,pool_1,103469366,197385.216561507
97,pool_1,103469405,275464.521084487
98,pool_1,103469542,213981.454706733
99,pool_1,103469985,172899.900670366
100,pool_1,103470041,245457.736447841
101,pool_1,103470065,212373.817392739
102,pool_1,103470375,479359.074458904
103,pool_1,103470934,290836.876941424
104,pool_1,103471052,487813.777061239
105,pool_1,103471104,201396.450376027
106,pool_1,103471337,295208.072905205
107,pool_1,103471432,349643.392232877
108,pool_1,103471628,383776.334417875
109,pool_1,103471714,307854.250231507
110,pool_1,103472140,312062.582561097
111,pool_1,103472282,353006.615469179
112,pool_1,103472413,440201.128617944
113,pool_1,103473319,152624.426469315
114,pool_1,103473640,218358.759395479
115,pool_1,103473768,349549.073539506
116,pool_1,103473869,390918.807603793
117,pool_1,103474011,452831.582946988
118,pool_1,103474174,280472.324964384
119,pool_1,103474206,230901.368652066
120,pool_1,103474499,466122.810241644
121,pool_1,103475283,179413.283045753
122,pool_1,103475683,254361.507937808
123,pool_1,103476061,326963.023824282
124,pool_1,103476469,324806.242787671
125,pool_1,103476726,364965.579496855
126,pool_1,103476845,374735.116784384
127,pool_1,103476892,295374.173736747
128,pool_1,103477594,399118.6715737
129,pool_1,103477613,192517.595852466
130,pool_1,103478650,275303.239210781
131,pool_1,103478753,227532.985006849
132,pool_1,103478981,100227.684630137
133,pool_1,103479160,328905.516962219
134,pool_1,103479456,361329.431365615
135,pool_1,103480073,326243.907605754
136,pool_1,103480250,323867.80889863
137,pool_1,103480375,272109.570709041
138,pool_1,103480495,233828.596596712
139,pool_1,103480635,227911.305340274
140,pool_1,103480963,346947.877715377
141,pool_1,103481596,432164.18800767
142,pool_1,103481883,224577.457418802
143,pool_1,103482097,350438.212795069
144,pool_1,103482161,345328.028521507
145,pool_1,103482647,150985.936808218
146,pool_1,103482714,416355.661014796
147,pool_1,103483346,269418.132099658
148,pool_1,103483354,351208.14382178
149,pool_1,103483745,151037.435558218
150,pool_1,103483908,258756.227229555
151,pool_1,103484633,321026.651857533
152,pool_1,103485022,282008.465375342
153,pool_1,103485865,329515.677978082
154,pool_1,103486276,260721.002230138
155,pool_1,103486744,199610.449260274
156,pool_1,103487111,460363.50368404
157,pool_1,103487301,186844.04767737
158,pool_1,103487775,325084.304989346
159,pool_1,103487829,80093.7717041096
160,pool_1,103488065,245798.79087411
161,pool_1,103488091,384397.254350465
162,pool_1,103488440,217296.45442674
163,pool_1,103488486,99590.5212054794
164,pool_1,103488561,235987.024920821
165,pool_1,103488813,372795.018968043
166,pool_1,103489582,202264.075561644
167,pool_1,103490174,325009.302787673
168,pool_1,103490680,348658.646792713
169,pool_1,103490747,457492.434240937
170,pool_1,103490864,184462.010119452
171,pool_1,103491229,261814.980634246
172,pool_1,103491245,359268.884726632
173,pool_1,103491332,249795.157660931
174,pool_1,103491385,240612.609918357
175,pool_1,103491594,289997.899222109
176,pool_1,103492395,199910.88888472
177,pool_1,103492741,286991.398873206
178,pool_1,103493220,201498.997410958
179,pool_1,103493374,209656.135915069
180,pool_1,103493500,300614.773890411
181,pool_1,103494680,99559.2572030133
182,pool_1,103494888,201629.682410958
